"ID","esa_avg","chirps_sum","era_prec_avg","era_temp_max_avg","era_temp_mean_avg","era_temp_min_avg","era_vswl_avg","kdd_event","kdd_result"
"ID_18258",0.266447625108181,632.51957154274,NA,21.2749553571429,19.142670375279,16.5167201450893,0.344624837239583,0,0
"ID_18259",0.312306448272089,730.641080379486,NA,21.7325339502936,18.7434350749791,15.7177724543834,0.468681041026275,0,0
"ID_18260",0.312415612668827,816.211696624756,NA,21.8693921638258,18.8442777999724,15.7628787878788,0.468059273922082,0,0
"ID_18261",0.313170705238978,764.414926528931,NA,22.2870310949901,18.7143810130932,15.5696994357639,0.45967236271611,0,0
"ID_18262",0.358607840019724,667.751513361931,NA,22.1573337598779,17.9888639252762,13.5993391365841,0.462118097648767,0,0
"ID_18263",0.363457772561482,730.091178178787,NA,20.8371787784984,17.4767912602775,14.0591809158805,0.477179661236969,0,0
"ID_18264",0.288727909963355,596.25289273262,NA,22.0024337768555,19.1146553039551,16.1174652099609,0.408693857987722,0,0
"ID_18265",0.267863193038598,531.313539028168,NA,20.9813371930804,19.2814041864304,17.0124354771205,0.180197511400495,0,0
"ID_18266",0.363435570223659,696.493702173233,NA,21.0455281047078,18.6379488726199,15.9932582310268,0.432233703084838,0,0
"ID_18267",0.358230066355144,688.247891187668,NA,20.8278446221502,17.4697515523659,13.9811895022602,0.47098905535364,0,0
"ID_18268",0.360029389235106,601.237811565399,NA,21.7667893629808,20.1659131172376,18.1668400691106,0.319468023838141,0,0
"ID_18269",0.3575301606927,677.779472112656,NA,21.4607632789386,18.4469220825436,15.051677491679,0.471359926332854,0,0
"ID_18270",0.331091697093185,611.681422948837,NA,22.0463156675681,17.8730221218533,13.4379250550881,0.458632660727216,0,0
"ID_18271",0.360661154714498,738.066341161728,NA,20.8752397017045,17.5144487477312,14.0725112452652,0.473345122674499,0,0
"ID_18272",0.359245117882202,765.891161680222,NA,20.8564927045037,17.4881779689415,14.0038559857537,0.469043518515194,0,0
"ID_18273",0.317092782612574,510.623947381973,NA,21.54111328125,18.5834803484488,15.6010423743207,0.475768866055254,0,0
"ID_18274",0.317092324378061,564.87992811203,NA,22.0229869682248,19.8815426097197,17.8282981551996,0.344687598092215,0,0
"ID_18275",0.327114347860498,303.814711809158,NA,25.6805785123967,20.6222014960507,15.8126606082128,0.429403578282716,1,0.853417968750001
"ID_18276",0.361614901125431,670.441391706467,NA,20.7503185297819,17.3909730232802,13.9350346712458,0.473645570827544,0,0
"ID_18277",0.309474944012372,588.34632396698,NA,24.6198935231855,19.6843096333166,14.3510427167339,0.41747431191065,0,0
"ID_18278",0.337523016534495,282.97880935669,NA,25.2023399575243,20.3583092748155,15.7870140890473,0.445391195105889,0,0
"ID_18279",NA,684.201864242554,NA,21.4582395788741,19.907535667942,18.1329539677868,0.202944703298072,0,0
"ID_18280",0.358204567974264,783.175639390946,NA,20.9481740427541,17.5790147494921,14.1045367230426,0.470820035689916,0,0
"ID_18281",0.32338312956003,880.51259803772,NA,23.8138243836242,19.9040838200293,16.4796798904221,0.445823050164557,0,0
"ID_18282",0.268329261865431,574.985300302505,NA,21.031884765625,18.8829148556705,16.1906913649868,0.346054932321181,0,0
"ID_18283",0.360661154714498,738.066341161728,NA,20.8752397017045,17.5144487477312,14.0725112452652,0.473345122674499,0,0
